location,country,site,lat,long,t,litter.spp,type,MAT,MAP,CDI_LT,CDI_atan,Nt,Mt,Cell,Lig,C,N,CN,LIG_N,Ls
Kungs-Husby,Sweden,KUN,59.52,17.27,2.479452055,NSP,L,5.2,470,0.3,0.1739,0.885054731,47.9292,47.5,27.73,43.66,0.5307,82.26870171,52.25174298,0.368602951
Kungs-Husby,Sweden,KUN,59.52,17.27,3.002739726,NSP,L,5.2,470,0.3,0.1739,0.887562357,42.9812,47.5,27.73,43.66,0.5307,82.26870171,52.25174298,0.368602951
Kungs-Husby,Sweden,KUN,59.52,17.27,4.024657534,NSP,L,5.2,470,0.3,0.1739,0.737224736,35.1032,47.5,27.73,43.66,0.5307,82.26870171,52.25174298,0.368602951
Kungs-Husby,Sweden,KUN,59.52,17.27,5.046575342,NSP,L,5.2,470,0.3,0.1739,0.62173566,25.4724,47.5,27.73,43.66,0.5307,82.26870171,52.25174298,0.368602951
Kungs-Husby,Sweden,KUN,59.52,17.27,0.457534247,SPI,L,5.2,470,0.3,0.1739,1.242751932,67.408,49.05,22.58,46.09,0.3793,121.513314,59.53071447,0.315231048
Kungs-Husby,Sweden,KUN,59.52,17.27,1,SPI,L,5.2,470,0.3,0.1739,1.162356841,61.9256,49.05,22.58,46.09,0.3793,121.513314,59.53071447,0.315231048
Kungs-Husby,Sweden,KUN,59.52,17.27,1.506849315,SPI,L,5.2,470,0.3,0.1739,1.177214605,42.1812,49.05,22.58,46.09,0.3793,121.513314,59.53071447,0.315231048
Kungs-Husby,Sweden,KUN,59.52,17.27,1.991780822,SPI,L,5.2,470,0.3,0.1739,1.178437107,40.27583333,49.05,22.58,46.09,0.3793,121.513314,59.53071447,0.315231048
Kungs-Husby,Sweden,KUN,59.52,17.27,2.476712329,SPI,L,5.2,470,0.3,0.1739,1.083356428,36.0068,49.05,22.58,46.09,0.3793,121.513314,59.53071447,0.315231048
Kungs-Husby,Sweden,KUN,59.52,17.27,3,SPI,L,5.2,470,0.3,0.1739,NA,33.0016,49.05,22.58,46.09,0.3793,121.513314,59.53071447,0.315231048
Kungs-Husby,Sweden,KUN,59.52,17.27,4.021917808,SPI,L,5.2,470,0.3,0.1739,1.081648917,30.24916667,49.05,22.58,46.09,0.3793,121.513314,59.53071447,0.315231048
Manjarv,Sweden,MA,65.78,20.62,0.994520548,SPI,L,0.2,516,0.2157,0.1209,1.333280914,80.1812,48.48,27.13,47.63,0.2944,161.7866848,92.15353261,0.358814972
Manjarv,Sweden,MA,65.78,20.62,1.219178082,SPI,L,0.2,516,0.2157,0.1209,1.35319263,72.7876,48.48,27.13,47.63,0.2944,161.7866848,92.15353261,0.358814972
Manjarv,Sweden,MA,65.78,20.62,1.98630137,SPI,L,0.2,516,0.2157,0.1209,1.218498576,64.4412,48.48,27.13,47.63,0.2944,161.7866848,92.15353261,0.358814972
Manjarv,Sweden,MA,65.78,20.62,2.208219178,SPI,L,0.2,516,0.2157,0.1209,1.323584639,56.956,48.48,27.13,47.63,0.2944,161.7866848,92.15353261,0.358814972
Manjarv,Sweden,MA,65.78,20.62,3.005479452,SPI,L,0.2,516,0.2157,0.1209,1.293095414,50.3928,48.48,27.13,47.63,0.2944,161.7866848,92.15353261,0.358814972
Manjarv,Sweden,MA,65.78,20.62,3.964383562,SPI,L,0.2,516,0.2157,0.1209,1.250685159,40.7628,48.48,27.13,47.63,0.2944,161.7866848,92.15353261,0.358814972
Manjarv,Sweden,MA,65.78,20.62,5.005479452,SPI,L,0.2,516,0.2157,0.1209,1.112291907,33.594,48.48,27.13,47.63,0.2944,161.7866848,92.15353261,0.358814972
Manjarv,Sweden,MA,65.78,20.62,0.994520548,SPI,L,0.2,516,0.2157,0.1209,1.235454403,74.1172,45.5,27.27,48.05,0.3046,157.7478661,89.52724885,0.374742339
Manjarv,Sweden,MA,65.78,20.62,1.219178082,SPI,L,0.2,516,0.2157,0.1209,1.230023667,65.4008,45.5,27.27,48.05,0.3046,157.7478661,89.52724885,0.374742339
Manjarv,Sweden,MA,65.78,20.62,1.98630137,SPI,L,0.2,516,0.2157,0.1209,1.15384469,56.7144,45.5,27.27,48.05,0.3046,157.7478661,89.52724885,0.374742339
Manjarv,Sweden,MA,65.78,20.62,2.208219178,SPI,L,0.2,516,0.2157,0.1209,1.189174503,49.4728,45.5,27.27,48.05,0.3046,157.7478661,89.52724885,0.374742339
Manjarv,Sweden,MA,65.78,20.62,3.005479452,SPI,L,0.2,516,0.2157,0.1209,1.018867733,39.0412,45.5,27.27,48.05,0.3046,157.7478661,89.52724885,0.374742339
