LitterSpecies,SiteNo,PlotType,PlotAvgMoisture_gWgS,DeployDate,HarvestDate,Time_days,HarvestNo,LitterInitMass_g,LitterHarvestMass_g,LitterPropInitMass,LitterInitC_g,LitterHarvestC_g,LitterPropInitC,LitterInitN_g,LitterHarvestN_g,LitterPropInitN
LUC,10,dry,0.26885812,11/30/10,9/30/12,670,5,2.820,1.465,0.519517183,1.343281139,0.6931501,0.51601268,0.0342903,0.03842695,1.12063616
LUC,10,dry,0.26885812,11/30/10,9/27/11,301,4,2.839,1.012,0.356525243,1.352133074,0.45957956,0.339892255,0.034516266,0.02267892,0.657050222
LUC,10,dry,0.26885812,11/30/10,4/29/11,150,1,2.808,2.2949,0.81731655,1.337527381,1.065086039,0.796309708,0.034143422,0.036282369,1.062645942
LUC,10,dry,0.26885812,11/30/10,9/20/13,1025,6,2.787,1.212,0.434812832,NA,NA,NA,NA,NA,NA
NIG,10,dry,0.26885812,11/30/10,5/26/11,177,2,2.879,2.4062,0.835671524,1.460987774,1.155144434,0.790659891,0.049937718,0.049230852,0.985845054
NIG,10,dry,0.26885812,11/30/10,8/1/11,244,3,2.840,2.113,0.74407965,1.440889023,0.99167316,0.688237015,0.049250727,0.048599,0.98676717
NIG,10,dry,0.26885812,11/30/10,9/30/12,670,5,2.855,1.703,0.596530856,1.44854569,0.81178604,0.560414522,0.049512437,0.04553822,0.919732947
NIG,10,dry,0.26885812,11/30/10,9/27/11,301,4,2.866,1.745,0.60882912,1.454288191,0.85873195,0.590482654,0.049708721,0.0452304,0.909908753
NIG,10,dry,0.26885812,11/30/10,4/29/11,150,1,2.875,2.4608,0.856036023,1.458595066,1.22929264,0.842792265,0.049855933,0.051258464,1.028131676
NIG,10,dry,0.26885812,11/30/10,9/20/13,1025,6,2.852,1.709,0.599226431,NA,NA,NA,NA,NA,NA
PET,10,dry,0.26885812,11/30/10,5/26/11,177,2,2.925,2.1936,0.749986654,1.433957463,1.062163056,0.740721454,0.027123128,0.028450992,1.048956892
PET,10,dry,0.26885812,11/30/10,8/1/11,244,3,2.843,1.852,0.651339947,1.394009182,0.8966458,0.643213697,0.026367511,0.02820596,1.069724018
PET,10,dry,0.26885812,11/30/10,9/30/12,670,5,2.878,1.408,0.489156257,1.411196233,0.65418496,0.463567677,0.026692602,0.03394688,1.271771101
PET,10,dry,0.26885812,11/30/10,9/27/11,301,4,2.921,1.534,0.525151442,1.432099403,0.76121682,0.531539095,0.027087983,0.02808754,1.036900385
PET,10,dry,0.26885812,11/30/10,4/29/11,150,1,2.866,2.208,0.770382516,1.405157539,1.08737376,0.773844732,0.026578381,0.02775456,1.044253223
PET,10,dry,0.26885812,11/30/10,9/20/13,1025,6,2.905,1.398,0.481246682,NA,NA,NA,NA,NA,NA
